p_center,g1,g2,resid_log,block
1270890835.0,8,30,0.0043584316854232,7
1685609797.0,56,6,0.0661859802683585,9
1894912206.0,10,12,-0.029405576550651,10
1894912206.0,32,46,0.1634600326557637,10
1685609797.0,16,44,0.0636704271428951,9
1270890835.0,30,8,0.020553813699527,7
1477585809.0,6,32,-0.0055455416841999,8
1477585809.0,36,14,0.0527735774441098,8
1270890835.0,52,14,0.0396809124523201,7
1477585809.0,10,12,-0.0255601088636179,8
1685609797.0,20,6,-0.0383170452346797,9
